,generated_headline,headline
0,"Best played Rosco P. Coltrane on ""The Dukes of Hazzard"" for seven seasons. He was orphaned at 3 and adopted by Armen and Essa, who raised him in Indiana.","James Best, who played the sheriff on ""The Dukes of Hazzard,"" died Monday at 88 .
""Hazzard"" ran from 1979 to 1985 and was among the most popular shows on TV ."
1,"""Nothing in this case has any evidentiary value,"" Dr. Anthony Moschetto says. He pleads not guilty to all charges and is released after posting $2 million bond. Two other men are named as accomplices, prosecutors say.","A lawyer for Dr. Anthony Moschetto says the charges against him are baseless .
Moschetto, 54, was arrested for selling drugs and weapons, prosecutors say .
Authorities allege Moschetto hired accomplices to burn down the practice of former associate ."
2,"Barack Obama says he wants the average American to take away from public health issues. He says it's important that people know there's a ""personal, potential impact"" in climate change. He says many states haven't set up their own health care exchanges.","""No challenge poses more of a public threat than climate change,"" the President says .
He credits the Clean Air Act with making Americans ""a lot"" healthier ."
3,"Russia's anti-gay propaganda law bans ""propaganda of nontraditional sexual relations around minors"" a TV Rain channel says it doesn't want to break the law. The video features about five seconds of two men holding hands. U.S. President Barack Obama: ""We don't outlaw anything and don't nab anyone""","Presidential hopeful's video, featuring gay couple, gets mature rating in Russia .
Russian TV channel feared airing it would break the country's anti-gay propaganda law .
Clinton announced her support for same-sex marriage in 2013 ."
4,"Marco Rubio is a Republican senator from Florida seeking the Republican presidential nomination. He says his lack of bold policy proposals will be a tough sell to Hispanics. Rubio has embraced a typical conservative approach to immigration, he says.","Raul Reyes: In seeking Latino vote, Marco Rubio his own worst enemy on two key issues: immigration reform, Cuba relations .
He says on health care, climate change and other issues, he breaks from Latinos' positions. Polls show they don't favor him ."
5,"""Orphan Black"" returns for a fifth season in one of the biggest season premieres of the year. The world of Westeros returns for a fifth season in one of the biggest season premieres of the year.","Critically acclaimed series ""Orphan Black"" returns .
""Turn: Washington's Spies"" starts a second season .
""Game of Thrones"" is back for season five ."
6,"""I feel like it's up moving in the air,"" a passenger tells CNN affiliate KABC. The crew and passengers reported unusual banging from the belly of the Boeing 737. Menzies Aviation has been permanently banned from working on Alaska Airlines planes.","The ramp agent fell asleep in the plane's cargo hold .
He can no longer work on Alaska Airlines flights ."
7,"Omar is ""still the leader"" of the Taliban's self-declared Islamic Emirate of Afghanistan. A former Taliban insider has written an autobiography about his days with the movement. Omar was famously camera-shy during the Taliban's six-year rule over most of Afghanistan.","Mullah Omar, the reclusive founder of the Afghan Taliban, is still in charge, a new biography claims .
An ex-Taliban insider says there have been rumors that the one-eyed militant is dead ."
8,"""Wonder Woman"" is still set for release on June 23, 2017. The movie, starring Gal Gadot in the title role of the Amazon princess, is still set for release on June 23, 2017.","Michelle MacLaren is no longer set to direct the first ""Wonder Woman"" theatrical movie .
MacLaren left the project over ""creative differences""
Movie is currently set for 2017 ."
9,"police: ""A grade was applied to the call that meant that no police response was deemed necessary"" Hatton Garden Safe Deposit Ltd. has not released any video of the heist. Police say there was no sign of forced entry to the vault.","British tabloid releases video it says shows the robbery being carried out .
British police say they didn't respond to a burglar alarm in jewelry district .
Police give no value of the amount taken in the heist in London's jewelry district ."
